CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES0026000000040084RB0F;18/09/2017;24;0,278;R
ES0026000000040084RB0F;19/09/2017;1;0,736;R
ES0026000000040084RB0F;19/09/2017;2;0,77;R
ES0026000000040084RB0F;19/09/2017;3;0,81;R
ES0026000000040084RB0F;19/09/2017;4;0,751;R
ES0026000000040084RB0F;19/09/2017;5;0,743;R
ES0026000000040084RB0F;19/09/2017;6;0,735;R
ES0026000000040084RB0F;19/09/2017;7;0,723;R
ES0026000000040084RB0F;19/09/2017;8;0,737;R
ES0026000000040084RB0F;19/09/2017;9;0,563;R
ES0026000000040084RB0F;19/09/2017;10;0,122;R
ES0026000000040084RB0F;19/09/2017;11;0,056;R
ES0026000000040084RB0F;19/09/2017;12;0,558;R
ES0026000000040084RB0F;19/09/2017;13;0,241;R
ES0026000000040084RB0F;19/09/2017;14;0,634;R
ES0026000000040084RB0F;19/09/2017;15;0,198;R
ES0026000000040084RB0F;19/09/2017;16;0,221;R
ES0026000000040084RB0F;19/09/2017;17;0,241;R
ES0026000000040084RB0F;19/09/2017;18;0,195;R
ES0026000000040084RB0F;19/09/2017;19;0,171;R
ES0026000000040084RB0F;19/09/2017;20;0,127;R
ES0026000000040084RB0F;19/09/2017;21;0,152;R
ES0026000000040084RB0F;19/09/2017;22;0,366;R
ES0026000000040084RB0F;19/09/2017;23;0,242;R
ES0026000000040084RB0F;19/09/2017;24;0,259;R
ES0026000000040084RB0F;20/09/2017;1;0,62;R
ES0026000000040084RB0F;20/09/2017;2;0,773;R
ES0026000000040084RB0F;20/09/2017;3;0,805;R
ES0026000000040084RB0F;20/09/2017;4;0,418;R
ES0026000000040084RB0F;20/09/2017;5;0,084;R
ES0026000000040084RB0F;20/09/2017;6;0,076;R
ES0026000000040084RB0F;20/09/2017;7;0,065;R
ES0026000000040084RB0F;20/09/2017;8;0,076;R
ES0026000000040084RB0F;20/09/2017;9;0,265;R
ES0026000000040084RB0F;20/09/2017;10;0,529;R
ES0026000000040084RB0F;20/09/2017;11;0,8;R
ES0026000000040084RB0F;20/09/2017;12;0,843;R
ES0026000000040084RB0F;20/09/2017;13;0,795;R
ES0026000000040084RB0F;20/09/2017;14;0,169;R
ES0026000000040084RB0F;20/09/2017;15;0,17;R
ES0026000000040084RB0F;20/09/2017;16;0,605;R
ES0026000000040084RB0F;20/09/2017;17;1,181;R
ES0026000000040084RB0F;20/09/2017;18;0,439;R
ES0026000000040084RB0F;20/09/2017;19;0,135;R
ES0026000000040084RB0F;20/09/2017;20;0,147;R
ES0026000000040084RB0F;20/09/2017;21;0,136;R
ES0026000000040084RB0F;20/09/2017;22;0,607;R
ES0026000000040084RB0F;20/09/2017;23;0,833;R
ES0026000000040084RB0F;20/09/2017;24;0,951;R
ES0026000000040084RB0F;21/09/2017;1;0,829;R
ES0026000000040084RB0F;21/09/2017;2;0,117;R
ES0026000000040084RB0F;21/09/2017;3;0,153;R
ES0026000000040084RB0F;21/09/2017;4;0,129;R
ES0026000000040084RB0F;21/09/2017;5;0,065;R
ES0026000000040084RB0F;21/09/2017;6;0,08;R
ES0026000000040084RB0F;21/09/2017;7;0,056;R
ES0026000000040084RB0F;21/09/2017;8;0,095;R
ES0026000000040084RB0F;21/09/2017;9;0,17;R
ES0026000000040084RB0F;21/09/2017;10;0,153;R
ES0026000000040084RB0F;21/09/2017;11;0,094;R
ES0026000000040084RB0F;21/09/2017;12;0,458;R
ES0026000000040084RB0F;21/09/2017;13;0,418;R
ES0026000000040084RB0F;21/09/2017;14;0,064;R
ES0026000000040084RB0F;21/09/2017;15;0,099;R
ES0026000000040084RB0F;21/09/2017;16;0,157;R
ES0026000000040084RB0F;21/09/2017;17;0,297;R
ES0026000000040084RB0F;21/09/2017;18;0,152;R
ES0026000000040084RB0F;21/09/2017;19;0,218;R
ES0026000000040084RB0F;21/09/2017;20;0,16;R
ES0026000000040084RB0F;21/09/2017;21;0,224;R
ES0026000000040084RB0F;21/09/2017;22;1,77;R
ES0026000000040084RB0F;21/09/2017;23;2,185;R
ES0026000000040084RB0F;21/09/2017;24;1,888;R
ES0026000000040084RB0F;22/09/2017;1;1,1;R
ES0026000000040084RB0F;22/09/2017;2;0,069;R
ES0026000000040084RB0F;22/09/2017;3;0,067;R
ES0026000000040084RB0F;22/09/2017;4;0,085;R
ES0026000000040084RB0F;22/09/2017;5;0,053;R
ES0026000000040084RB0F;22/09/2017;6;0,096;R
ES0026000000040084RB0F;22/09/2017;7;0,055;R
ES0026000000040084RB0F;22/09/2017;8;0,096;R
ES0026000000040084RB0F;22/09/2017;9;0,27;R
ES0026000000040084RB0F;22/09/2017;10;0,146;R
ES0026000000040084RB0F;22/09/2017;11;0,133;R
ES0026000000040084RB0F;22/09/2017;12;0,676;R
ES0026000000040084RB0F;22/09/2017;13;0,91;R
ES0026000000040084RB0F;22/09/2017;14;0,256;R
ES0026000000040084RB0F;22/09/2017;15;0,465;R
ES0026000000040084RB0F;22/09/2017;16;0,223;R
ES0026000000040084RB0F;22/09/2017;17;0,346;R
ES0026000000040084RB0F;22/09/2017;18;0,235;R
ES0026000000040084RB0F;22/09/2017;19;0,124;R
ES0026000000040084RB0F;22/09/2017;20;0,141;R
ES0026000000040084RB0F;22/09/2017;21;0,164;R
ES0026000000040084RB0F;22/09/2017;22;0,181;R
ES0026000000040084RB0F;22/09/2017;23;0,132;R
ES0026000000040084RB0F;22/09/2017;24;0,209;R
ES0026000000040084RB0F;23/09/2017;1;0,185;R
ES0026000000040084RB0F;23/09/2017;2;0,144;R
ES0026000000040084RB0F;23/09/2017;3;0,155;R
ES0026000000040084RB0F;23/09/2017;4;0,135;R
ES0026000000040084RB0F;23/09/2017;5;0,086;R
ES0026000000040084RB0F;23/09/2017;6;0,055;R
ES0026000000040084RB0F;23/09/2017;7;0,085;R
ES0026000000040084RB0F;23/09/2017;8;0,077;R
ES0026000000040084RB0F;23/09/2017;9;0,216;R
ES0026000000040084RB0F;23/09/2017;10;0,14;R
ES0026000000040084RB0F;23/09/2017;11;0,151;R
ES0026000000040084RB0F;23/09/2017;12;0,114;R
ES0026000000040084RB0F;23/09/2017;13;0,151;R
ES0026000000040084RB0F;23/09/2017;14;0,575;R
ES0026000000040084RB0F;23/09/2017;15;0,414;R
ES0026000000040084RB0F;23/09/2017;16;0,278;R
ES0026000000040084RB0F;23/09/2017;17;0,602;R
ES0026000000040084RB0F;23/09/2017;18;0,338;R
ES0026000000040084RB0F;23/09/2017;19;0,092;R
ES0026000000040084RB0F;23/09/2017;20;0,228;R
ES0026000000040084RB0F;23/09/2017;21;0,216;R
ES0026000000040084RB0F;23/09/2017;22;0,228;R
ES0026000000040084RB0F;23/09/2017;23;0,262;R
ES0026000000040084RB0F;23/09/2017;24;0,364;R
ES0026000000040084RB0F;24/09/2017;1;0,275;R
ES0026000000040084RB0F;24/09/2017;2;0,132;R
ES0026000000040084RB0F;24/09/2017;3;0,093;R
ES0026000000040084RB0F;24/09/2017;4;0,052;R
ES0026000000040084RB0F;24/09/2017;5;0,079;R
ES0026000000040084RB0F;24/09/2017;6;0,08;R
ES0026000000040084RB0F;24/09/2017;7;0,061;R
ES0026000000040084RB0F;24/09/2017;8;0,078;R
ES0026000000040084RB0F;24/09/2017;9;0,222;R
ES0026000000040084RB0F;24/09/2017;10;0,145;R
ES0026000000040084RB0F;24/09/2017;11;0,122;R
ES0026000000040084RB0F;24/09/2017;12;0,225;R
ES0026000000040084RB0F;24/09/2017;13;0,516;R
ES0026000000040084RB0F;24/09/2017;14;0,117;R
ES0026000000040084RB0F;24/09/2017;15;0,056;R
ES0026000000040084RB0F;24/09/2017;16;0,079;R
ES0026000000040084RB0F;24/09/2017;17;0,076;R
ES0026000000040084RB0F;24/09/2017;18;0,066;R
ES0026000000040084RB0F;24/09/2017;19;0,192;R
ES0026000000040084RB0F;24/09/2017;20;0,124;R
ES0026000000040084RB0F;24/09/2017;21;0,067;R
ES0026000000040084RB0F;24/09/2017;22;0,768;R
ES0026000000040084RB0F;24/09/2017;23;0,264;R
ES0026000000040084RB0F;24/09/2017;24;0,554;R
ES0026000000040084RB0F;25/09/2017;1;0,581;R
ES0026000000040084RB0F;25/09/2017;2;0,153;R
ES0026000000040084RB0F;25/09/2017;3;0,088;R
ES0026000000040084RB0F;25/09/2017;4;0,053;R
ES0026000000040084RB0F;25/09/2017;5;0,078;R
ES0026000000040084RB0F;25/09/2017;6;0,077;R
ES0026000000040084RB0F;25/09/2017;7;0,056;R
ES0026000000040084RB0F;25/09/2017;8;0,103;R
ES0026000000040084RB0F;25/09/2017;9;0,302;R
ES0026000000040084RB0F;25/09/2017;10;0,107;R
ES0026000000040084RB0F;25/09/2017;11;0,147;R
ES0026000000040084RB0F;25/09/2017;12;0,143;R
ES0026000000040084RB0F;25/09/2017;13;0,708;R
ES0026000000040084RB0F;25/09/2017;14;0,285;R
ES0026000000040084RB0F;25/09/2017;15;0,569;R
ES0026000000040084RB0F;25/09/2017;16;0,888;R
ES0026000000040084RB0F;25/09/2017;17;0,534;R
ES0026000000040084RB0F;25/09/2017;18;0,338;R
ES0026000000040084RB0F;25/09/2017;19;0,145;R
ES0026000000040084RB0F;25/09/2017;20;0,192;R
